001,0.555556,0.384615,4175,9,31,6
003,0.750000,0.750000,2668,12,38,8
004,1.000000,0.461538,3490,6,37,3
006,1.000000,0.153846,2434,2,47,32
007,0.454545,0.555556,2706,11,26,1
008,1.000000,0.500000,2840,2,26,11
010,0.833333,0.500000,1905,6,28,7
012,0.500000,0.333333,3204,2,24,18
014,0.375000,0.214286,3087,8,26,10
017,0.733333,0.478261,3558,15,47,5
018,0.714286,0.454545,1545,7,26,1
021,0.857143,0.750000,3001,7,27,4
023,0.714286,0.714286,3248,14,25,5
024,1.000000,0.125000,2611,2,55,28
025,1.000000,0.666667,1032,4,13,5
026,1.000000,0.500000,3217,3,30,5
027,0.263158,0.178571,3267,19,63,5
028,0.600000,0.300000,3388,5,24,13
029,0.444444,0.363636,2882,9,48,6
031,0.666667,0.500000,2871,6,21,1
